step,energy,temperature,pressure,kinetic,potential
40,-9.786281218638265,1.1840648691743323,-0.009557548695657725,191.81850880624182,-201.6047900248801
41,22.933135330277793,1.2621153534341287,0.07853626606037029,204.46268725632885,-181.52955192605106
42,70.84159299427384,1.3431949648187762,0.18606418113087686,217.59758430064176,-146.75599130636792
43,49.472870194255876,1.420184170061549,0.22120271213272585,230.06983554997095,-180.59696535571507
44,93.47514239077339,1.492827944565101,0.3371320143145405,241.83812701954633,-148.36298462877295
45,97.80802240817474,1.5636874007700097,0.38896996777005477,253.31735892474157,-155.50933651656683
46,88.2382341224322,1.6264646372976905,0.42600575915196376,263.48727124222586,-175.24903711979366
47,125.7883933831123,1.6829806775285725,0.4848855244739943,272.64286975962875,-146.85447637651646
48,181.99915116294653,1.7357381700834078,0.5487626432769737,281.1895835535121,-99.19043239056556
49,180.44997646368665,1.7758761477359701,0.5070590080305147,287.69193593322717,-107.24195946954052
50,202.59123916073762,1.7988344994146173,0.5178806952819477,291.411188905168,-88.81994974443037
51,177.10188846973568,1.805887477610872,0.4811677664240228,292.55377137296125,-115.45188290322557
52,137.79824947444982,1.7945673405416327,0.439688176730653,290.7199091677445,-152.92165969329469
53,116.96515441159448,1.7707384398811308,0.4489280713993307,286.8596272607432,-169.8944728491487
54,132.0431149664473,1.7444640117236494,0.5116839929323431,282.6031698992312,-150.5600549327839
55,158.690772399479,1.7213284533053836,0.5723808563986653,278.85520943547215,-120.16443703599316
56,132.53882193871294,1.6986018490490484,0.5726198637164306,275.17349954594584,-142.6346776072329
57,160.20678820955877,1.6761939169348858,0.6002253685943936,271.5434145434515,-111.33662633389272
58,151.61203610972512,1.6542170302747068,0.580084138325156,267.9831589045025,-116.37112279477738
59,146.66666269839806,1.6300400278030567,0.5617681756174979,264.0664845040952,-117.39982180569712
60,185.71410674370773,1.6076894739717615,0.5933560377720077,260.4456947834254,-74.73158803971765
61,197.92964322132997,1.5874363388852597,0.5733391957532221,257.16468689941206,-59.2350436780821
62,207.33155618357316,1.5657966028432502,0.5444744373006997,253.65904966060654,-46.32749347703339
63,169.06939602922048,1.539498619896975,0.4759240638427223,249.39877642330993,-80.32938039408944
64,155.64942302022592,1.5093810167255284,0.4540902424506217,244.5197247095356,-88.87030168930967
65,102.56701106864355,1.4768084221765454,0.39174113152118084,239.24296439260036,-136.6759533239568
66,123.0856565591848,1.4457569344531704,0.4169555481731384,234.2126233814136,-111.12696682222881
67,115.74602357772687,1.419957845658496,0.40760732038912084,230.03317099667635,-114.28714741894947
68,150.16947386558348,1.3997953424754699,0.43938682795254674,226.7668454810261,-76.59737161544263
